Country,Is there a non-discrimination clause in the constitution?,"If there is a non-discrimination clause in the constitution, does it explicitly mention gender?",Does the constitution guarantee equality before the law?
Albania,Yes,Yes,Yes
Algeria,Yes,Yes,Yes
Angola,Yes,Yes,Yes
Argentina,No,N/A,Yes
Armenia,Yes,Yes,Yes
Australia,No,N/A,No
Austria,No,N/A,Yes
Azerbaijan,No,N/A,Yes
Bangladesh,Yes,Yes,Yes
Belarus,Yes,No,Yes
Belgium,No,N/A,Yes
Benin,No,N/A,Yes
Bolivia,Yes,Yes,Yes
Bosnia and Herzegovina,Yes,Yes,No
Botswana,Yes,Yes,No
Brazil,Yes,Yes,Yes
Bulgaria,No,N/A,Yes
Burkina Faso,Yes,Yes,Yes
Burundi,Yes,Yes,Yes
Cambodia,Yes,Yes,Yes
Cameroon,No,N/A,Yes
Canada,Yes,Yes,Yes
Chad,Yes,Yes,Yes
Chile,No,N/A,Yes
China,No,N/A,Yes
Colombia,Yes,Yes,Yes
"Congo, Dem. Rep.",Yes,Yes,Yes
"Congo, Rep.",Yes,Yes,Yes
Costa Rica,Yes,No,Yes
Côte d'Ivoire,No,N/A,Yes
Croatia,No,N/A,Yes
Czech Republic,No,N/A,No
Denmark,No,N/A,No
Dominican Republic,Yes,Yes,Yes
Ecuador,Yes,Yes,Yes
"Egypt, Arab Rep.",Yes,No,Yes
El Salvador,No,N/A,Yes
Estonia,Yes,Yes,Yes
Ethiopia,Yes,Yes,Yes
Fiji,Yes,Yes,Yes
Finland,No,N/A,Yes
France,No,N/A,Yes
Gabon,No,N/A,Yes
Georgia,No,N/A,Yes
Germany,No,N/A,Yes
Ghana,Yes,Yes,Yes
Greece,No,N/A,Yes
Guatemala,No,N/A,Yes
Guinea,No,N/A,Yes
Haiti,No,N/A,Yes
Honduras,Yes,Yes,Yes
"Hong Kong SAR, China",No,N/A,Yes
Hungary,Yes,Yes,Yes
Iceland,No,N/A,Yes
India,Yes,Yes,Yes
Indonesia,Yes,No,Yes
"Iran, Islamic Rep.",No,N/A,Yes
Ireland,No,N/A,Yes
Israel,No,N/A,No
Italy,No,N/A,Yes
Jamaica,Yes,Yes,Yes
Japan,Yes,Yes,Yes
Jordan,Yes,No,Yes
Kazakhstan,Yes,Yes,Yes
Kenya,Yes,Yes,Yes
"Korea, Rep.",Yes,Yes,Yes
Kosovo,Yes,Yes,Yes
Kuwait,No,N/A,Yes
Kyrgyz Republic,Yes,Yes,Yes
Lao PDR,No,N/A,Yes
Latvia,Yes,No,Yes
Lebanon,No,N/A,Yes
Lesotho,Yes,Yes,Yes
Liberia,No,N/A,Yes
Lithuania,No,N/A,Yes
"Macedonia, FYR",Yes,Yes,Yes
Madagascar,Yes,Yes,Yes
Malawi,Yes,Yes,Yes
Malaysia,Yes,Yes,Yes
Mali,Yes,Yes,Yes
Mauritania,No,N/A,Yes
Mauritius,Yes,Yes,Yes
Mexico,Yes,Yes,Yes
Moldova,Yes,Yes,Yes
Mongolia,Yes,Yes,Yes
Montenegro,Yes,No,Yes
Morocco,No,N/A,Yes
Mozambique,No,N/A,Yes
Namibia,Yes,Yes,Yes
Nepal,Yes,Yes,Yes
Netherlands,Yes,Yes,Yes
New Zealand,Yes,Yes,No
Nicaragua,Yes,Yes,Yes
Niger,Yes,Yes,Yes
Nigeria,Yes,Yes,Yes
Norway,No,N/A,No
Oman,Yes,Yes,Yes
Pakistan,Yes,Yes,Yes
Panama,Yes,Yes,No
Papua New Guinea,No,N/A,Yes
Paraguay,Yes,No,Yes
Peru,Yes,Yes,Yes
Philippines,No,N/A,Yes
Poland,Yes,No,Yes
Portugal,Yes,No,Yes
Puerto Rico (U.S.),Yes,Yes,Yes
Romania,Yes,No,Yes
Russian Federation,No,N/A,Yes
Rwanda,Yes,Yes,Yes
Saudi Arabia,No,N/A,No
Senegal,Yes,No,Yes
Serbia,Yes,Yes,Yes
Sierra Leone,Yes,Yes,Yes
Singapore,Yes,No,Yes
Slovak Republic,Yes,Yes,Yes
Slovenia,No,N/A,Yes
South Africa,Yes,Yes,Yes
Spain,Yes,Yes,Yes
Sri Lanka,Yes,Yes,Yes
Sudan,Yes,Yes,Yes
Sweden,No,N/A,Yes
Switzerland,Yes,Yes,Yes
Syrian Arab Republic,Yes,Yes,Yes
"Taiwan, China",No,N/A,Yes
Tajikistan,No,N/A,Yes
Tanzania,Yes,Yes,Yes
Thailand,Yes,Yes,Yes
Togo,No,N/A,Yes
Tunisia,No,N/A,Yes
Turkey,Yes,Yes,Yes
Uganda,Yes,Yes,Yes
Ukraine,No,N/A,Yes
United Arab Emirates,No,N/A,Yes
United Kingdom,No,N/A,No
United States,No,N/A,Yes
Uruguay,No,N/A,Yes
Uzbekistan,Yes,Yes,Yes
"Venezuela, RB",Yes,Yes,Yes
Vietnam,Yes,Yes,Yes
West Bank and Gaza,Yes,Yes,Yes
"Yemen, Rep.",No,N/A,Yes
Zambia,Yes,Yes,Yes
Zimbabwe,Yes,Yes,Yes
