Country,Does the law mandate paid or unpaid maternity leave?,Does the law mandate paid or unpaid paternity leave?,Does the law mandate equal remuneration for men and women for work of equal value?,Are there laws mandating non-discrimination based on gender in hiring?,Is it illegal for an employer to ask about family status during a job interview?,Are there laws penalizing or preventing the dismissal of pregnant women?,Are employers required to provide break time for nursing mothers?
Albania,Yes,No,No,Yes,No,Yes,Yes
Algeria,Yes,Yes,Yes,No,No,No,No
Angola,Yes,Yes,Yes,Yes,No,Yes,Yes
Argentina,Yes,Yes,Yes,Yes,No,Yes,Yes
Armenia,Yes,No,Yes,No,No,Yes,Yes
Australia,No,No,Yes,Yes,No,Yes,No
Austria,Yes,No,No,No,No,Yes,Yes
Azerbaijan,Yes,Yes,Yes,Yes,No,Yes,Yes
Bangladesh,Yes,No,Yes,No,No,No,No
Belarus,Yes,No,Yes,No,No,Yes,Yes
Belgium,Yes,Yes,Yes,Yes,No,Yes,Yes
Benin,Yes,Yes,Yes,Yes,No,Yes,Yes
Bolivia,Yes,Yes,Yes,No,No,Yes,Yes
Bosnia and Herzegovina,Yes,Yes,No,Yes,No,Yes,Yes
Botswana,Yes,No,No,No,No,Yes,Yes
Brazil,Yes,Yes,Yes,Yes,No,Yes,Yes
Bulgaria,Yes,Yes,Yes,No,Yes,Yes,Yes
Burkina Faso,Yes,Yes,Yes,No,No,Yes,Yes
Burundi,Yes,Yes,Yes,Yes,No,Yes,Yes
Cambodia,Yes,No,Yes,Yes,No,Yes,Yes
Cameroon,Yes,Yes,No,No,No,Yes,Yes
Canada,Yes,No,Yes,Yes,Yes,Yes,No
Chad,Yes,Yes,Yes,Yes,No,Yes,Yes
Chile,Yes,Yes,No,No,No,Yes,Yes
China,Yes,Yes,No,Yes,No,Yes,Yes
Colombia,Yes,Yes,No,No,No,Yes,Yes
"Congo, Dem. Rep.",Yes,Yes,No,No,No,Yes,Yes
"Congo, Rep.",Yes,No,No,No,No,No,Yes
Costa Rica,Yes,No,No,Yes,No,Yes,Yes
Côte d'Ivoire,Yes,Yes,No,Yes,No,Yes,Yes
Croatia,Yes,No,Yes,Yes,Yes,Yes,Yes
Czech Republic,Yes,No,Yes,Yes,Yes,Yes,Yes
Denmark,Yes,Yes,Yes,No,No,Yes,No
Dominican Republic,Yes,Yes,No,No,No,Yes,Yes
Ecuador,Yes,Yes,Yes,Yes,No,Yes,Yes
"Egypt, Arab Rep.",Yes,No,No,No,No,Yes,Yes
El Salvador,Yes,No,No,Yes,No,Yes,Yes
Estonia,Yes,Yes,No,Yes,Yes,Yes,Yes
Ethiopia,Yes,No,No,No,No,Yes,No
Fiji,Yes,No,Yes,Yes,No,Yes,No
Finland,Yes,Yes,No,No,No,Yes,No
France,Yes,Yes,No,Yes,No,Yes,Yes
Gabon,Yes,No,No,No,No,Yes,Yes
Georgia,Yes,No,No,No,No,No,Yes
Germany,Yes,No,No,Yes,No,Yes,Yes
Ghana,Yes,No,No,Yes,No,Yes,Yes
Greece,Yes,Yes,Yes,Yes,No,Yes,Yes
Guatemala,Yes,Yes,No,Yes,No,Yes,Yes
Guinea,Yes,No,Yes,No,No,Yes,Yes
Haiti,Yes,No,No,No,No,Yes,Yes
Honduras,Yes,No,No,Yes,No,Yes,Yes
"Hong Kong SAR, China",Yes,No,No,Yes,No,Yes,No
Hungary,Yes,Yes,Yes,Yes,No,Yes,Yes
Iceland,Yes,Yes,No,No,No,Yes,No
India,Yes,No,No,Yes,No,Yes,Yes
Indonesia,Yes,Yes,No,No,No,Yes,Yes
"Iran, Islamic Rep.",Yes,No,No,No,No,No,Yes
Ireland,Yes,No,Yes,Yes,No,Yes,Yes
Israel,Yes,No,No,No,No,Yes,Yes
Italy,Yes,Yes,Yes,No,No,Yes,Yes
Jamaica,Yes,No,No,No,No,Yes,No
Japan,Yes,No,No,Yes,No,Yes,Yes
Jordan,Yes,No,No,No,No,Yes,Yes
Kazakhstan,Yes,No,No,Yes,No,Yes,Yes
Kenya,Yes,Yes,Yes,No,No,Yes,No
"Korea, Rep.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
Kosovo,Yes,Yes,Yes,Yes,No,Yes,No
Kuwait,Yes,No,No,No,No,No,Yes
Kyrgyz Republic,Yes,Yes,Yes,No,Yes,Yes,Yes
Lao PDR,Yes,No,Yes,No,No,Yes,Yes
Latvia,Yes,Yes,Yes,No,Yes,Yes,Yes
Lebanon,Yes,No,No,No,No,Yes,No
Lesotho,Yes,No,Yes,No,No,Yes,Yes
Liberia,Yes,No,No,No,No,Yes,No
Lithuania,Yes,Yes,No,No,No,Yes,Yes
"Macedonia, FYR",Yes,No,No,Yes,No,Yes,Yes
Madagascar,Yes,No,Yes,No,No,Yes,Yes
Malawi,Yes,No,Yes,Yes,No,Yes,No
Malaysia,Yes,No,No,No,No,Yes,No
Mali,Yes,Yes,No,No,No,Yes,Yes
Mauritania,Yes,No,No,Yes,No,Yes,Yes
Mauritius,Yes,Yes,Yes,Yes,No,Yes,Yes
Mexico,Yes,Yes,No,Yes,No,Yes,Yes
Moldova,Yes,No,Yes,Yes,No,Yes,No
Mongolia,Yes,No,No,No,Yes,Yes,Yes
Montenegro,Yes,No,Yes,Yes,Yes,Yes,Yes
Morocco,Yes,Yes,Yes,Yes,No,Yes,Yes
Mozambique,Yes,Yes,No,No,No,Yes,Yes
Namibia,Yes,No,Yes,Yes,No,Yes,No
Nepal,Yes,No,No,No,No,No,Yes
Netherlands,Yes,Yes,Yes,Yes,No,Yes,Yes
New Zealand,Yes,Yes,No,Yes,No,Yes,Yes
Nicaragua,Yes,No,No,Yes,No,Yes,Yes
Niger,Yes,Yes,Yes,Yes,No,Yes,Yes
Nigeria,Yes,No,No,No,No,Yes,Yes
Norway,No,No,Yes,Yes,Yes,Yes,Yes
Oman,Yes,No,No,No,No,Yes,No
Pakistan,Yes,No,No,No,No,Yes,No
Panama,Yes,No,No,No,No,Yes,Yes
Papua New Guinea,Yes,No,No,No,No,Yes,Yes
Paraguay,Yes,Yes,Yes,No,No,Yes,Yes
Peru,Yes,Yes,No,No,No,Yes,Yes
Philippines,Yes,Yes,Yes,No,No,Yes,Yes
Poland,Yes,Yes,Yes,No,No,Yes,Yes
Portugal,No,No,Yes,Yes,Yes,Yes,Yes
Puerto Rico (U.S.),Yes,No,No,Yes,Yes,Yes,Yes
Romania,Yes,Yes,No,Yes,No,Yes,Yes
Russian Federation,Yes,No,No,No,No,Yes,Yes
Rwanda,Yes,Yes,No,No,No,Yes,Yes
Saudi Arabia,Yes,Yes,No,No,No,No,Yes
Senegal,Yes,No,No,No,No,No,Yes
Serbia,Yes,No,No,Yes,No,Yes,No
Sierra Leone,Yes,No,No,No,No,No,No
Singapore,Yes,No,No,No,No,Yes,No
Slovak Republic,Yes,No,No,Yes,Yes,Yes,Yes
Slovenia,Yes,Yes,No,Yes,No,Yes,Yes
South Africa,Yes,Yes,No,No,No,Yes,No
Spain,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sri Lanka,Yes,No,No,No,No,Yes,Yes
Sudan,Yes,No,No,No,No,Yes,Yes
Sweden,Yes,Yes,No,Yes,No,Yes,Yes
Switzerland,Yes,No,No,Yes,No,Yes,Yes
Syrian Arab Republic,Yes,No,No,No,No,No,Yes
"Taiwan, China",Yes,Yes,Yes,Yes,No,Yes,Yes
Tajikistan,Yes,No,Yes,Yes,No,Yes,Yes
Tanzania,Yes,Yes,Yes,Yes,No,Yes,Yes
Thailand,Yes,No,No,No,No,Yes,No
Togo,Yes,Yes,Yes,Yes,No,Yes,Yes
Tunisia,Yes,Yes,No,No,No,Yes,Yes
Turkey,Yes,No,No,No,No,Yes,Yes
Uganda,Yes,Yes,Yes,No,No,Yes,No
Ukraine,Yes,No,No,Yes,No,Yes,Yes
United Arab Emirates,Yes,No,No,No,No,No,Yes
United Kingdom,Yes,Yes,Yes,Yes,No,Yes,No
United States,No,No,Yes,Yes,Yes,Yes,Yes
Uruguay,Yes,Yes,Yes,Yes,No,Yes,Yes
Uzbekistan,Yes,No,No,No,No,Yes,Yes
"Venezuela, RB",Yes,Yes,No,Yes,No,Yes,Yes
Vietnam,Yes,No,Yes,Yes,No,Yes,Yes
West Bank and Gaza,Yes,No,No,No,No,Yes,Yes
"Yemen, Rep.",Yes,No,No,No,No,No,Yes
Zambia,Yes,No,No,No,No,Yes,No
Zimbabwe,Yes,No,Yes,Yes,No,No,Yes
